ID	Heure de début	Heure de fin	Adresse de messagerie	Nom	Quelle est votre connaissance, à priori, du DevOps ?	Selon vous, que permet le DevOps ?	Selon vous, pour faire du DevOps, il faut quoi ?	Avez-vous un intérêt pour le DevOps ?	Mon secteur/groupe
11	6-3-21 14:45:30	6-3-21 14:46:27	anonymous		4	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Une vision DevOps;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
12	6-3-21 14:52:39	6-3-21 14:54:58	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la fiabilité des systèmes;Réduire le coût de livraison;"	"De la formation DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des outils d'automatisation d'intégration;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;"	3	DEV - Applicatif
13	6-3-21 14:56:08	6-3-21 14:58:23	anonymous		2	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils de monitoring;Des outils d'automatisation d'intégration;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;"	1	DEV - Applicatif
14	6-3-21 15:01:00	6-3-21 15:02:55	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire le coût de livraison;Adopter une culture ""lean"";Réduire le temps de livraison au client;Réduire les interventions humaines dans la livraison;Améliorer la maintenance des logiciels;"	"Une culture DevOps;Des tests automatisés;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une vision DevOps;Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une gestion des configurations;"	3	DEV - Applicatif
15	6-3-21 15:02:14	6-3-21 15:03:40	anonymous		3	"Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une équipe dédiée;Des outils d'automatisation de déploiement;Briser les silos entre les équipes DEV / Projets / Outils ...;Une architecture logicielle adéquate;"	3	DEV - Applicatif
16	6-3-21 15:02:16	6-3-21 15:04:10	anonymous		1	"Réduire les interventions humaines dans la livraison;Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"Des outils de monitoring;Une gestion des configurations;Briser les silos entre les équipes DEV / Projets / Outils ...;Une vision DevOps;De la formation DevOps;Une culture DevOps;"	1	DEV - Applicatif
17	6-3-21 15:02:05	6-3-21 15:05:57	anonymous		4	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la fiabilité des systèmes;Augmenter la qualité;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"Des outils de monitoring;Une vision DevOps;Une architecture logicielle adéquate;Une gestion des configurations;Briser les silos entre les équipes DEV / Projets / Outils ...;Des outils d'automatisation de déploiement;Des outils d'automatisation d'intégration;De la formation DevOps;Une culture DevOps;"	4	DEV - Applicatif
18	6-3-21 15:01:52	6-3-21 15:06:19	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;"	"Une culture DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	DEV - Applicatif
19	6-3-21 15:10:23	6-3-21 15:12:39	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Réduire le temps de livraison au client;"	"De la formation DevOps;Une vision DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	DEV - Applicatif
20	6-3-21 15:11:42	6-3-21 15:13:31	anonymous		3	"Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Réduire le coût de livraison;"	"Une vision DevOps;De la formation DevOps;Des outils de monitoring;Des outils d'automatisation de déploiement;Une culture DevOps;"	3	DEV - Applicatif
21	6-3-21 15:02:04	6-3-21 15:17:30	anonymous		2	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
22	6-3-21 15:21:58	6-3-21 15:25:10	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des tests automatisés;Une vision DevOps;Une gestion des configurations;"	3	DEV - Applicatif
23	6-3-21 15:23:17	6-3-21 15:25:15	anonymous		2	"Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Réduire le temps de livraison au client;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Des outils d'automatisation de déploiement;Une équipe dédiée;"	1	DEV - Applicatif
24	6-3-21 15:26:01	6-3-21 15:27:41	anonymous		3	"Augmenter la fiabilité des systèmes;Réduire le coût de livraison;Augmenter la qualité;Améliorer la maintenance des logiciels;Réduire le temps de livraison au client;"	"Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Des tests automatisés;"	1	DEV - Applicatif
25	6-3-21 15:27:13	6-3-21 15:28:56	anonymous		5	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la fiabilité des systèmes;Augmenter la qualité;"	"Une culture DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Algo
26	6-3-21 15:28:30	6-3-21 15:29:47	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Améliorer la maintenance des logiciels;Réduire le temps de livraison au client;Adopter une culture ""lean"";"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une culture DevOps;Une gestion des configurations;Briser les silos entre les équipes DEV / Projets / Outils ...;"	5	DEV - Applicatif
27	6-3-21 15:28:35	6-3-21 15:29:50	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;"	"Des outils d'automatisation d'intégration;Une vision DevOps;Une équipe dédiée;Des outils de monitoring;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	DEV - Applicatif
28	6-3-21 15:28:17	6-3-21 15:30:09	anonymous		4	"Augmenter la qualité;Augmenter la fiabilité des systèmes;Améliorer la maintenance des logiciels;"	"Des tests automatisés;Une équipe dédiée;De la formation DevOps;Des outils de monitoring;Des outils d'automatisation d'intégration;"	5	DEV - Applicatif
29	6-3-21 15:28:43	6-3-21 15:30:31	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le coût de livraison;Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;"	"De la formation DevOps;Une vision DevOps;Une culture DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
30	6-3-21 15:28:14	6-3-21 15:30:52	anonymous		4	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Adopter une culture ""lean"";Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Une équipe dédiée;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Des outils de monitoring;"	3	DEV - Applicatif
31	6-3-21 15:21:14	6-3-21 15:31:42	anonymous		3	"Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une vision DevOps;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des configurations;Une gestion des données de tests;"	5	DEV - Applicatif
32	6-3-21 15:34:59	6-3-21 15:36:14	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	DEV - Applicatif
33	6-3-21 15:26:44	6-3-21 15:38:09	anonymous		1	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la qualité;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Une gestion des configurations;Une gestion des données de tests;"	3	DEV - Plateforme et outils
34	6-3-21 15:37:52	6-3-21 15:38:55	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Augmenter la fiabilité des systèmes;"	"Une infrastructure Cloud;Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des configurations;Des outils d'automatisation d'intégration;Une vision DevOps;De la formation DevOps;Une architecture logicielle adéquate;Une culture DevOps;Des outils d'automatisation de déploiement;Des tests automatisés;"	4	DEV - Applicatif
35	6-3-21 15:28:14	6-3-21 15:40:08	anonymous		4	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Améliorer la maintenance des logiciels;"	"Des tests automatisés;Une architecture logicielle adéquate;Une équipe dédiée;Une vision DevOps;Des outils de monitoring;Des outils d'automatisation d'intégration;"	4	DEV - Applicatif
36	6-3-21 15:31:10	6-3-21 15:40:45	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"De la formation DevOps;Une vision DevOps;Des outils d'automatisation d'intégration;Des outils de monitoring;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
37	6-3-21 15:46:17	6-3-21 15:47:22	anonymous		3	"Réduire le temps de livraison au client;Réduire les interventions humaines dans la livraison;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"De la formation DevOps;"	3	DEV - Applicatif
38	6-3-21 15:28:19	6-3-21 15:59:50	anonymous		2	"Réduire le temps de livraison au client;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Améliorer la maintenance des logiciels;"	"De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des tests automatisés;Des outils d'automatisation de déploiement;Des outils de monitoring;Des outils d'automatisation d'intégration;Une équipe dédiée;Une culture DevOps;Une infrastructure Cloud;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
39	6-3-21 16:13:42	6-3-21 16:16:42	anonymous		3	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Briser les silos entre les équipes DEV / Projets / Outils ...;Une culture DevOps;Des tests automatisés;Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une infrastructure Cloud;Une gestion des configurations;"	4	DEV - Applicatif
40	6-3-21 16:16:38	6-3-21 16:19:20	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;"	"Une architecture logicielle adéquate;Une gestion des configurations;Une culture DevOps;Une gestion des données de tests;"	4	DEV - Applicatif
41	6-3-21 16:19:07	6-3-21 16:21:03	anonymous		3	"Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Réduire le temps de livraison au client;"	"Des outils d'automatisation d'intégration;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	DEV - Algo
42	6-3-21 16:13:03	6-3-21 16:22:12	anonymous		1	"Améliorer la maintenance des logiciels;Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Une culture DevOps;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;"	3	DEV - Applicatif
43	6-3-21 16:21:03	6-3-21 16:24:37	anonymous		2	"Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Des outils d'automatisation de déploiement;Une infrastructure Cloud;Une gestion des configurations;De la formation DevOps;"	4	DEV - Applicatif
44	6-3-21 16:21:53	6-3-21 16:25:13	anonymous		1	"Adopter une culture ""lean"";"	"De la formation DevOps;"	1	DEV - Algo
45	6-3-21 16:18:50	6-3-21 16:25:28	anonymous		1	"Augmenter la qualité;"	"De la formation DevOps;"	3	DEV - Algo
46	6-3-21 16:19:03	6-3-21 16:32:45	anonymous		1	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la fiabilité des systèmes;"	"De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;"	1	DEV - Algo
47	6-3-21 16:22:14	6-3-21 16:35:57	anonymous		1	"Améliorer la maintenance des logiciels;"	"Des outils d'automatisation de déploiement;"	2	DEV - Algo
48	6-3-21 16:36:55	6-3-21 16:38:17	anonymous		1	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"Briser les silos entre les équipes DEV / Projets / Outils ...;"	1	DEV - Algo
49	6-3-21 16:20:48	6-3-21 16:39:29	anonymous		2	"Améliorer la maintenance des logiciels;Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Réduire le temps de livraison au client;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;"	2	DEV - Applicatif
50	6-3-21 16:42:23	6-3-21 16:43:32	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une culture DevOps;Une infrastructure Cloud;"	5	DEV - Algo
51	6-3-21 16:40:24	6-3-21 16:43:38	anonymous		1	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;"	"De la formation DevOps;Des outils d'automatisation de déploiement;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des données de tests;"	5	Projets
52	6-3-21 16:51:46	6-3-21 16:52:42	anonymous		3	"Réduire les interventions humaines dans la livraison;"	"De la formation DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Briser les silos entre les équipes DEV / Projets / Outils ...;"	1	DEV - Applicatif
53	6-3-21 16:54:58	6-3-21 17:04:04	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;"	"De la formation DevOps;Une vision DevOps;Une culture DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des données de tests;Une gestion des configurations;Des tests automatisés;Des outils d'automatisation de déploiement;Des outils de monitoring;Des outils d'automatisation d'intégration;"	4	Projets
54	6-3-21 17:11:08	6-3-21 17:12:26	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Adopter une culture ""lean"";Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des configurations;Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des données de tests;"	3	DEV - Applicatif
55	6-3-21 17:14:09	6-3-21 17:15:27	anonymous		2	"Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;"	"De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Des outils d'automatisation d'intégration;Des outils de monitoring;"	3	DEV - Applicatif
56	6-3-21 17:44:25	6-3-21 17:46:38	anonymous		3	"Réduire le coût de livraison;Augmenter la qualité;Adopter une culture ""lean"";Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le temps de livraison au client;"	"De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une culture DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
57	6-3-21 17:50:34	6-3-21 17:51:22	anonymous		3	"Réduire le temps de livraison au client;Augmenter la qualité;Réduire le coût de livraison;"	"De la formation DevOps;Une vision DevOps;Une culture DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	Projets
58	6-3-21 18:00:27	6-3-21 18:01:40	anonymous		4	"Réduire le temps de livraison au client;Augmenter la fiabilité des systèmes;Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;"	"Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des outils d'automatisation d'intégration;"	4	DEV - Applicatif
59	6-3-21 18:00:17	6-3-21 18:02:04	anonymous		5	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Améliorer la maintenance des logiciels;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des tests automatisés;Une infrastructure Cloud;Une gestion des configurations;Une culture DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;"	5	Gestion (direction)
60	6-3-21 18:08:23	6-3-21 18:10:33	anonymous		1	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Améliorer la maintenance des logiciels;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Des tests automatisés;Des outils d'automatisation de déploiement;"	4	DEV - Applicatif
61	6-3-21 19:01:58	6-3-21 19:02:47	anonymous		2	"Augmenter la qualité;Augmenter la fiabilité des systèmes;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Une culture DevOps;Une gestion des données de tests;"	4	DEV - Applicatif
62	6-3-21 19:13:32	6-3-21 19:15:02	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Améliorer la maintenance des logiciels;Réduire le temps de livraison au client;Augmenter la fiabilité des systèmes;"	"Une vision DevOps;De la formation DevOps;Des outils d'automatisation d'intégration;Une architecture logicielle adéquate;"	3	DEV - Applicatif
63	6-3-21 16:42:14	6-3-21 19:22:00	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"Briser les silos entre les équipes DEV / Projets / Outils ...;"	2	DEV - Applicatif
64	6-3-21 19:32:30	6-3-21 19:33:52	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Améliorer la maintenance des logiciels;Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire le temps de livraison au client;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Une vision DevOps;De la formation DevOps;Des outils d'automatisation d'intégration;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	DEV - Applicatif
